_id,_type,topConceptOf,prefLabel,definition,broader,isPartOf,relevantClass,relevantDataType,relation,seeAlso,relevantRiepr,conditionPath,conditionValue,relevantCodeList,relevantUnit,isVerplicht,isMeervoudig,isOnzichtbaar
conceptscheme:operationeel_zelfcontrole_lucht,skos:ConceptScheme,,Operationele gegevens,,,,,,,,,,,,,,,
riepr-operationeel-zelfcontrole-lucht:feature,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht,Emissiepunt,Het emissiepunt waarop gerapporteed moet worden.,,,sosa:FeatureOfInterest,,sosa:hasFeatureOfInterest,conceptscheme:operationeel_zelfcontrole_lucht_meting,conceptscheme:emissiepunt_type,,,,,true,true,
,,,,,,,,,,,,,,,,,,
conceptscheme:operationeel_zelfcontrole_lucht_meting,skos:ConceptScheme,,,,,,,,,,,,,,,,,
riepr-operationeel-zelfcontrole-lucht:meting,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Meting,,,,,,,,,,,,,,true,
riepr-operationeel-zelfcontrole-lucht:datum,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Datum van meting,Datum van de meting of startdatum indien de meting over meerdere dagen heeft plaatsgevonden.,riepr-operationeel-zelfcontrole-lucht:meting,riepr-operationeel-zelfcontrole-lucht:meting,,xsd:date,sosa:resultTime,,,,,,true,,,
riepr-operationeel-zelfcontrole-lucht:labo,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Labo,,riepr-operationeel-zelfcontrole-lucht:meting,riepr-operationeel-zelfcontrole-lucht:meting,,,sosa:madeBySensor,,,,,,,,,
riepr-operationeel-zelfcontrole-lucht:labo-naam,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Naam,De naam van het labo.,riepr-operationeel-zelfcontrole-lucht:labo,riepr-operationeel-zelfcontrole-lucht:labo,,xsd:string,,,,,,,,true,,
riepr-operationeel-zelfcontrole-lucht:labo-id,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,KBO nummer of BTW nummer,,riepr-operationeel-zelfcontrole-lucht:labo,riepr-operationeel-zelfcontrole-lucht:labo,,xsd:string,,,,,,,,,,
riepr-operationeel-zelfcontrole-lucht:parameter,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Parameter,,riepr-operationeel-zelfcontrole-lucht:meting,riepr-operationeel-zelfcontrole-lucht:meting,,,,,,,,,,,true,
riepr-operationeel-zelfcontrole-lucht:parameter-soort,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Soort monster,,riepr-operationeel-zelfcontrole-lucht:parameter,riepr-operationeel-zelfcontrole-lucht:parameter,,xsd:string,,,,,,,,,,
riepr-operationeel-zelfcontrole-lucht:parameter-parameter,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Parameter,,riepr-operationeel-zelfcontrole-lucht:parameter,riepr-operationeel-zelfcontrole-lucht:parameter,,,sosa:observedProperty,,,http://TODO,,true,,,,
riepr-operationeel-zelfcontrole-lucht:parameter-concentratie,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Concentratie,,riepr-operationeel-zelfcontrole-lucht:parameter,riepr-operationeel-zelfcontrole-lucht:parameter,,,sosa:hasResult,,,,,,,,,
riepr-operationeel-zelfcontrole-lucht:parameter-meetonzekerheid,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Meetonzekerheid,,riepr-operationeel-zelfcontrole-lucht:parameter,riepr-operationeel-zelfcontrole-lucht:parameter,,xsd:decimal,,,,,,,unit:PERCENT,,,
riepr-operationeel-zelfcontrole-lucht:parameter-meetfrequentie,skos:Concept,conceptscheme:operationeel_zelfcontrole_lucht_meting,Meetfrequentie,,riepr-operationeel-zelfcontrole-lucht:parameter,riepr-operationeel-zelfcontrole-lucht:parameter,,,,,,,,,,,,
